Movie Name,Director ,Year,Jump Count,Jump scare Rating ,Netflix (US),IMDB
The Green Inferno,Eli Roth,2013,4,1,No,5.3
The Hallow,Corin Hardy,2015,18,3.5,No,5.7
The Harvest,John McNaughton,2013,0,0,No,6.1
The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,2013,32,5,No,5.3
The Hole,Nick Hamm,2001,3,0.5,No,6.2
The House on Pine Street,"Aaron Keeling, Austin Keeling",2015,5,1,No,5.3
The House with a Clock in Its Walls,Eli Roth,2018,8,1.5,No,6
The Invitation,Karyn Kusama,2015,5,1,Yes,6.6
The Killing of a Sacred Deer,Yorgos Lanthimos,2017,3,0.5,No,7
The Lazarus Effect,David Gelb,2015,18,4.5,No,5.2
The Limehouse Golem,Juan Carlos Medina,2016,0,0,No,6.3
The Little Stranger,Lenny Abrahamson,2018,0,0,No,5.5
The Love Witch,Anna Biller,2016,0,0,No,6.2
The Meg,Jon Turteltaub,2018,18,3.5,No,5.7
The Monster,Bryan Bertino,2016,11,3,Yes,5.4
The Mummy,Alex Kurtzman,2017,16,3.5,No,5.5
The Neighbor,Marcus Dunstan,2016,3,1,No,5.3
The Neon Demon,Nicolas Winding Refn,2016,2,0.5,No,6.2
The New Daughter,Luiso Berdejo,2009,11,2.5,No,5.3
The Nun,Corin Hardy,2018,21,4.5,No,5.4
The Ones Below,David Farr,2015,0,0,Yes,6.1
The Open House,"Matt Angel, Suzanne Coote",2018,14,3,Yes,3.3
The Other Side of the Door,Johannes Roberts,2016,16,3.5,No,5.3
The Perfection,Richard Shepard,2019,1,0.5,Yes,6.1
The Possession,Ole Bornedal,2012,10,3,No,5.9
The Possession of Michael King,David Jung,2014,20,4,No,5.7
The Predator,Shane Black,2018,6,1.5,No,5.4
The Purge: Election Year,James DeMonaco,2016,9,2.5,No,6
The Quiet Ones,John Pogue,2014,23,4,No,5.1
The Rite,Mikael Håfström,2011,7,2,Yes,6
The Ritual,David Bruckner,2017,15,3,Yes,6.3
The Shallows,Jaume Collet-Serra,2016,9,2.5,No,6.3
The Shape of Water,Guillermo del Toro,2017,2,0.5,No,7.3
The Snowman,Tomas Alfredson,2017,9,2,No,5.1
The Strangers: Prey at Night,Johannes Roberts,2018,14,3.5,No,5.2
The Taking of Deborah Logan,Adam Robitel,2014,19,3.5,No,6
The Thing,John Carpenter,1982,7,2,No,8.1
The Thing,Matthijs van Heijningen Jr.,2011,7,2.5,No,6.2
The Town That Dreaded Sundown,Alfonso Gomez-Rejon,2014,8,3,No,5.6
The Transfiguration,Michael O’Shea,2016,2,1,No,6
The Tunnel,Carlo Ledesma,2011,6,2.5,No,5.9
The Unborn,David S. Goyer,2009,14,3.5,Yes,4.8
The Uninvited,Charles & Thomas Guard,2009,11,3,Yes,6.3
The Veil,Phil Joanou,2016,12,3,Yes,4.7
The Village,M. Night Shyamalan,2004,4,1,No,6.5
The Visit,M. Night Shyamalan,2015,8,2.5,No,6.2
The Voices,Marjane Satrapi,2014,3,0.5,No,6.4
The Void,"Jeremy Gillespie, Steven Kostanski",2016,8,2,Yes,5.8
The Wailing,Na Hong-jin,2016,4,1,Yes,7.4
The Ward,John Carpenter,2010,15,4,No,5.6
The Witch,Robert Eggers,2015,4,1.5,Yes,6.8
The Woman in Black 2: Angel of Death,Tom Harper,2014,14,4,No,4.8
Them (Ils),"David Moreau, Xavier Palud",2006,16,4,No,6.4
Thesis (Tesis),Alejandro Amenábar,1996,3,0.5,No,7.4
They Look Like People,Perry Blackshear,2015,2,0.5,No,5.9
Thirteen Ghosts,Steve Beck,2001,17,3,No,5.6
Timecrimes,Nacho Vigalondo,2007,3,0.5,No,7.2
Tragedy Girls,Tyler Macintyre,2017,8,2,No,6
Train to Busan,Sang-ho Yeon,2016,4,1,Yes,7.5
Trash Fire,Richard Bates Jr.,2016,0,0,Yes,5.8
Tremors,Ron Underwood,1990,16,2.5,No,7.1
Triangle,Christopher Smith,2009,5,1,No,6.9
Trick 'r Treat,Michael Dougherty,2007,6,2.5,No,6.8
Truth or Dare,Jeff Wadlow,2018,7,2,No,5.1
Tucker and Dale vs. Evil,Eli Craig,2010,9,1.5,No,7.5
Tusk,Kevin Smith,2014,0,0,Yes,5.3
Under the Shadow,Babak Anvari,2016,9,3.5,Yes,6.9
Unfriended,Leo Gabriadze,2014,5,3,No,5.5
Unfriended: Dark Web,Stephen Susco,2018,6,1.5,No,5.9
Unsane,Steven Soderbergh,2018,2,0.5,No,6.4
Urban Legend,Jamie Blanks,1998,17,4,No,5.5
Us,Jordan Peele,2019,11,2.5,No,6.9
Uzumaki,Higuchinsky,2000,15,3,No,6.2
V/H/S,Various Directors,2012,7,3.5,No,5.8
V/H/S/2,Various Directors,2013,14,4,No,6
Vacancy,Nimród Antal,2007,12,2.5,No,6.2
Velvet Buzzsaw,Dan Gilroy,2019,10,2.5,No,5.7
Veronica,Paco Plaza,2017,10,3,Yes,6.2
Victor Frankenstein,Paul McGuigan,2015,6,1.5,No,6
Viral,"Henry Joost, Ariel Schulman",2016,20,4,No,5.5
Visions,Kevin Greutert,2015,10,3.5,No,5.3
Wait Until Dark,Terence Young,1967,1,0.5,No,7.8
We Are Still Here,Ted Geoghegan,2015,12,3,No,5.7
Wes Craven's New Nightmare,Wes Craven,1994,11,2.5,No,6.4
What Lies Beneath,Robert Zemeckis,2000,16,3,No,6.6
When a Stranger Calls,Fred Walton,1979,5,2,No,6.6
"Wicker Man, The",Robin Hardy,1973,4,0.5,No,7.6
Wildling,Fritz Böhm,2018,4,1.5,No,5.5
Winchester,"Michael Spierig, Peter Spierig",2018,17,4,No,5.4
Wind Chill,Gregory Jacobs,2007,13,3,No,5.8
Wish Upon,John R. Leonetti,2017,11,2,No,5
Wolf Creek,Greg McLean,2005,0,0,No,6.2
"Wolfman, The",Joe Johnston,2010,18,4,No,5.8
"Woman in Black, The",James Watkins,2012,16,4,No,6.4
World War Z,Marc Forster,2013,7,2.5,No,7
Would You Rather,David Guy Levy,2012,3,1,Yes,5.7
Wrong Turn,Rob Schmidt,2003,13,3,No,6.1
You're Next,Adam Wingard,2011,11,3,No,6.5
Zodiac,David Fincher,2007,3,0.5,No,7.7
Zombieland,Ruben Fleischer,2009,9,3,No,7.6
