Movie Name,Director ,Year,Jump Count,Jump scare Rating ,Netflix (US),IMDB
Death Note,Adam Wingard,2017,6,1.5,Yes,4.6
Deathgasm,Jason Lei Howden,2015,7,2,No,6.3
Deep Blue Sea,Renny Harlin,1999,10,2.5,No,5.8
Deep Red,Dario Argento,1975,7,1.5,No,7.7
Deliver Us From Evil,Scott Derrickson,2014,16,4,No,6.2
Dementia,Mike Testin,2015,0,0,No,5
Demonic,Will Canon,2015,17,4,Yes,5.3
"Den, The",Zachary Donohue,2013,14,4,No,6
"Descent, The",Neil Marshall,2005,16,4,No,7.2
Devil,John Erick Dowdle,2010,4,1.5,No,6.2
"Devil's Backbone, The",Guillermo del Toro,2001,4,1.5,No,7.4
Devil's Due,"Matt Bettinelli-Olpin, Tyler Gillett",2014,13,3,No,4.1
Devil's Pass,Renny Harlin,2013,10,2.5,No,5.7
"Devil's Rejects, The",Rob Zombie,2005,0,0,No,6.8
Dismissed,Benjamin Arfmann,2017,0,0,No,5.8
Disturbia,D.J. Caruso,2007,13,3,No,6.8
Dog Soldiers,Neil Marshall,2002,13,3,No,6.8
Don't Be Afraid of the Dark,Troy Nixey,2010,8,3,No,5.5
Don't Breathe,Fede Alvarez,2016,17,3.5,No,7.1
Don't Knock Twice,Caradog W. James,2016,19,3.5,No,5.1
Donnie Darko,Richard Kelly,2001,3,1,No,8
Doom,Andrzej Bartkowiak,2005,15,3.5,Yes,5.2
Dracula Untold,Gary Shore,2014,4,1,No,6.3
Drag Me To Hell,Sam Raimi,2009,23,4.5,No,6.5
Dreamcatcher,Lawrence Kasdan,2003,11,3,No,5.5
Eden Lake,James Watkins,2008,3,1,No,6.8
Eli,Ciarán Foy,2019,13,3.5,Yes,5.9
Elle,Paul Verhoeven,2016,7,2,No,7.1
Emelie,Michael Thelin,2015,3,0.5,Yes,5.4
Escape Room,Adam Robitel,2019,4,1.5,No,6.3
Europa Report,Sebastián Cordero,2013,1,0.5,No,6.4
Event Horizon,Paul W.S. Anderson,1997,11,3,No,6.7
Evil Dead,Fede Alvarez,2013,20,4,No,6.5
Evil Dead II,Sam Raimi,1987,27,4,No,7.8
"Evil Dead, The",Sam Raimi,1981,22,4,No,7.5
"Exorcism of Emily Rose, The",Scott Derrickson,2005,8,2.5,No,6.7
"Exorcist III, The",William Peter Blatty,1990,11,2.5,No,6.3
"Exorcist, The",William Friedkin,1973,10,1.5,No,8
Exorcist: The Beginning,Renny Harlin,2004,17,4,No,5.1
Extinction,Miguel Ángel Vivas,2015,12,3,No,5.8
Extraterrestrial,Colin Minihan,2014,30,4.5,No,5
"Eye, The","Danny Pang, Oxide Chun Pang",2002,5,2,No,6.7
"Faculty, The",Robert Rodriguez,1998,11,3,No,6.5
Fear Clinic,Robert Hall,2014,13,3,No,5
Final Destination,James Wong,2000,4,2,Yes,6.7
Final Destination 2,David R. Ellis,2003,3,1,Yes,6.2
Final Destination 3,James Wong,2006,5,1,Yes,5.8
Final Destination 5,Steven Quale,2011,5,1.5,No,5.8
"Final Destination, The",David R. Ellis,2009,4,1,No,5.2
Flatliners,Joel Schumacher,1990,7,2,Yes,6.6
"Fly, The",David Cronenberg,1986,2,0.5,No,7.5
"Fog, The",John Carpenter,1980,16,3.5,No,6.8
"Forgotten, The ",Joseph Ruben,2004,7,3,No,5.8
Frailty,Bill Paxton,2001,0,0,No,7.2
Freddy vs. Jason,Ronny Yu,2003,24,4,No,5.7
Friday the 13th,Sean S. Cunningham,1980,10,3,No,6.5
Friday the 13th,Marcus Nispel,2009,23,4,No,5.6
Friend Request,Simon Verhoeven,2016,21,4,Yes,5.3
Fright Night,Craig Gillespie,2011,10,3,No,6.3
Funny Games,Michael Haneke,1997,1,0.5,No,7.6
Funny Games,Michael Haneke,2007,1,0.5,No,6.5
Gerald's Game,Mike Flanagan,2017,3,0.5,Yes,6.6
Get Out,Jordan Peele,2017,10,2.5,No,7.7
Ghost Ship,Steve Beck,2002,12,3,Yes,5.5
Ghost Stories,"Jeremy Dyson, Andy Nyman",2017,20,4,No,6.4
"Ghost Story, A",David Lowery,2017,3,1,No,6.8
Ghostland,Pascal Laugier,2018,21,4,No,6.4
"Girl Walks Home Alone at Night, A",Ana Lily Amirpour,2014,0,0,No,7
Goodnight Mommy,"Severin Fiala, Veronika Franz",2014,1,0.5,No,6.7
Goosebumps,Rob Letterman,2015,10,2.5,No,6.3
Gothika,Mathieu Kassovitz,2003,16,3.5,Yes,5.8
